,participant_nr,session,age,handedness,gender,consent given,date
0,1,10,27,right,female,True,12-14-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,L,blue,left,Incorrect,4.683054699999047
1,2,L,blue,right,Incorrect,0.4753874000016367
1,3,T,blue,up,Incorrect,0.30721909999556374
1,4,T,red,down,Incorrect,0.314094399989699
1,5,T,blue,right,Correct,0.33661019999999553
1,6,T,red,left,Correct,0.23361139999178704
1,7,L,red,up,Correct,0.05707039999833796
1,8,T,red,right,Incorrect,0.1246190999954706
1,9,L,blue,down,Correct,0.23042130000249017
1,10,L,red,left,Incorrect,0.071716499995091
2,1,T,blue,left,Incorrect,0.33135439999750815
2,2,L,red,up,Correct,0.05076969999936409
2,3,T,red,right,Incorrect,0.08833169999707025
2,4,L,red,down,Incorrect,0.03641570000036154
2,5,L,blue,up,Incorrect,0.24235549999866635
2,6,L,red,down,Incorrect,0.2479825000045821
2,7,T,red,up,Incorrect,0.19466819999797735
2,8,L,blue,down,Correct,0.25577899999916553
2,9,T,red,up,Incorrect,0.14285229999222793
2,10,T,red,down,Incorrect,0.24056229999405332
3,1,T,blue,left,Incorrect,0.26215460000094026
3,2,T,red,right,Incorrect,0.24384760000975803
3,3,T,red,left,Correct,0.20588459999999031
3,4,T,blue,right,Correct,0.21675469999900088
3,5,L,blue,left,Incorrect,0.19166240000049584
3,6,L,blue,right,Incorrect,0.23565029999008402
3,7,L,blue,left,Incorrect,0.14765270000498276
3,8,L,red,right,Incorrect,0.2073065000004135
3,9,L,red,down,Incorrect,0.018311499996343628
3,10,T,red,up,Incorrect,0.3216210999962641
