,participant_nr,session,age,handedness,gender,consent given,date
0,1,16,27,right,female,True,12-14-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,T,red,right,Incorrect,9.383217899987358
1,2,T,blue,right,Correct,8.076460500000394
1,3,T,blue,right,Correct,4.764252799999667
1,4,L,red,up,Correct,5.514551400003256
1,5,L,red,up,Correct,4.070180999988224
1,6,L,blue,down,Correct,5.768496100004995
1,7,L,red,up,Correct,4.5052630999998655
1,8,T,blue,left,Incorrect,2.970403300001635
1,9,L,blue,right,Incorrect,0.36866490000102203
1,10,T,blue,down,Incorrect,0.509357100003399
2,1,L,red,up,Correct,0.5786928000015905
2,2,L,red,left,Incorrect,0.3708307000051718
2,3,T,red,down,Incorrect,0.014598699999623932
2,4,L,red,right,Incorrect,0.044664400003966875
2,5,T,blue,up,Incorrect,0.0010023000068031251
2,6,T,blue,down,Incorrect,0.26342770000337623
2,7,T,red,up,Incorrect,0.21839589999581221
2,8,L,red,down,Incorrect,0.2009064000012586
2,9,L,blue,up,Incorrect,0.22886600000492763
2,10,T,red,down,Incorrect,0.20651959998940583
3,1,T,red,left,Correct,0.486124099988956
3,2,L,blue,right,Incorrect,0.1457797000039136
3,3,T,blue,up,Incorrect,0.1792864000017289
3,4,L,blue,left,Incorrect,0.11774409998906776
3,5,L,blue,right,Incorrect,0.3822792999999365
3,6,T,red,left,Correct,0.435464399997727
3,7,L,red,right,Incorrect,0.13583869999274611
3,8,L,red,up,Correct,0.151839199999813
3,9,T,red,down,Incorrect,0.12462980000418611
3,10,T,blue,down,Incorrect,0.16897539999627043
