,participant_nr,session,age,handedness,gender,consent given,date
0,1,18,27,right,female,True,12-15-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,T,red,left,Correct,4.269077799996012
1,2,T,blue,right,Correct,5.400027600000612
1,3,L,blue,down,Correct,4.11784209999314
1,4,T,red,left,Correct,5.3354389000014635
1,5,T,red,left,Correct,4.652783800003817
1,6,T,red,right,Incorrect,4.868759399992996
1,7,L,red,up,Correct,9.64952840001206
1,8,L,blue,down,Correct,10.452575400006026
1,9,L,blue,down,Correct,8.768756299992674
1,10,L,blue,down,Correct,4.684782600001199
2,1,T,red,left,Correct,5.481747199999518
2,2,L,blue,down,Correct,11.263065899998765
2,3,T,blue,right,Correct,5.351502799996524
2,4,L,blue,down,Correct,4.709826899998006
2,5,T,blue,right,Correct,3.1852221000008285
2,6,L,red,down,Incorrect,6.581126300006872
2,7,L,red,up,Correct,6.838683900001342
2,8,L,blue,down,Correct,9.016855200010468
2,9,T,red,left,Correct,4.656116799989832
2,10,T,red,left,Correct,5.788728600004106
3,1,T,red,left,Correct,3.303723399993032
3,2,L,red,down,Incorrect,7.3618378000101075
3,3,T,blue,right,Correct,11.788196900000912
3,4,L,blue,down,Correct,3.927350200014189
3,5,L,red,up,Correct,5.134296699994593
3,6,L,red,up,Correct,4.102240799998981
3,7,T,red,left,Correct,6.128065900004003
3,8,T,blue,right,Correct,9.653051300003426
3,9,L,blue,down,Correct,4.009462700007134
3,10,T,red,left,Correct,7.084201600009692
