,participant_nr,session,age,handedness,gender,consent given,date
0,1,15,27,right,female,True,12-14-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,T,blue,left,Incorrect,1.9563631000055466
1,2,T,blue,right,Correct,0.1865551999944728
1,3,L,blue,left,Incorrect,0.10916059999726713
1,4,L,blue,right,Incorrect,0.06325330000254326
1,5,L,red,up,Correct,0.05426719998649787
1,6,L,red,left,Incorrect,0.2656180000049062
1,7,T,blue,right,Correct,0.35375209999619983
1,8,T,blue,left,Incorrect,0.05684960000507999
1,9,T,blue,right,Correct,0.24132000000099652
1,10,L,red,left,Incorrect,0.07060069999715779
2,1,T,blue,left,Incorrect,0.0399392999970587
2,2,T,blue,right,Correct,0.10846139999921434
2,3,L,blue,left,Incorrect,0.04070090000459459
2,4,T,blue,right,Correct,0.0928423000004841
2,5,T,blue,left,Incorrect,0.08146830000623595
2,6,L,blue,right,Incorrect,0.1051067999942461
2,7,L,blue,left,Incorrect,0.03835699999763165
2,8,T,blue,right,Correct,0.061538399997516535
2,9,L,blue,left,Incorrect,0.06770939999842085
2,10,L,blue,right,Incorrect,0.10093240000423975
3,1,T,blue,left,Incorrect,0.32583149999845773
3,2,L,red,right,Incorrect,0.005900499993003905
3,3,T,red,up,Incorrect,0.07456069999898318
3,4,T,red,down,Incorrect,0.08339580000028946
3,5,L,red,left,Incorrect,0.04162930000165943
3,6,L,blue,right,Incorrect,0.04524700000183657
3,7,T,red,left,Correct,0.10208820000116248
3,8,L,blue,right,Incorrect,0.015050599991809577
3,9,L,red,down,Incorrect,0.00781309999001678
3,10,T,blue,right,Correct,0.12706250000337604
