,participant_nr,session,age,handedness,gender,consent given,date
0,1,12,27,right,female,True,12-14-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,L,blue,down,Correct,6.807707999992999
1,2,T,red,left,Correct,3.6379617000056896
1,3,L,blue,down,Correct,4.634702199997264
1,4,T,red,down,Incorrect,3.652168400003575
1,5,T,red,right,Incorrect,3.608246200004942
1,6,L,blue,left,Incorrect,0.7684630000003381
1,7,L,blue,up,Incorrect,0.30264910000551026
1,8,L,blue,down,Correct,0.2228612000035355
1,9,T,blue,right,Correct,0.2904917999985628
1,10,T,red,up,Incorrect,0.22901569999521598
2,1,T,blue,down,Incorrect,0.48318060000019614
2,2,T,red,up,Incorrect,0.21678479999536648
2,3,T,red,left,Correct,0.16195809999771882
2,4,L,blue,right,Incorrect,0.3590495000098599
2,5,L,red,up,Correct,0.36392720000003465
2,6,L,red,left,Incorrect,0.2103654000093229
2,7,L,red,down,Incorrect,0.19370850000996143
2,8,T,blue,right,Correct,0.2349236000009114
2,9,L,red,up,Correct,0.10199029999785125
2,10,T,blue,left,Incorrect,0.22318369999993593
3,1,T,red,right,Incorrect,0.3003876000002492
3,2,T,blue,up,Incorrect,0.3459096000005957
3,3,L,blue,left,Incorrect,0.053702199991676025
3,4,T,red,down,Incorrect,0.013086700011626817
3,5,L,red,right,Incorrect,0.001130899996496737
3,6,T,blue,up,Incorrect,0.0037651000020559877
3,7,L,red,left,Incorrect,0.016654299994115718
3,8,L,red,down,Incorrect,0.26236989999597427
3,9,L,blue,up,Incorrect,0.2364201000018511
3,10,T,blue,down,Incorrect,0.34956919999967795
