,participant_nr,session,age,handedness,gender,consent given,date
0,1,11,27,right,female,True,12-14-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,L,blue,left,Incorrect,10.412677400003304
1,2,T,blue,up,Incorrect,3.1614918999985093
1,3,T,red,left,Correct,5.3159969999978784
1,4,L,red,down,Incorrect,11.457140600003186
1,5,L,red,up,Correct,3.086545099999057
1,6,T,blue,left,Incorrect,0.4005472999997437
1,7,L,red,right,Incorrect,0.2871237000072142
1,8,T,red,up,Incorrect,0.3042574999999488
1,9,L,blue,left,Incorrect,0.24854300000879448
1,10,T,red,right,Incorrect,0.1816599000012502
2,1,T,red,down,Incorrect,0.35865470000135247
2,2,L,blue,up,Incorrect,0.3295433999883244
2,3,L,red,right,Incorrect,0.22572109999600798
2,4,T,blue,down,Incorrect,0.09962520000408404
2,5,T,red,left,Correct,0.2505156999977771
2,6,L,blue,up,Incorrect,0.12701310000556987
2,7,L,blue,left,Incorrect,0.22416710000834428
2,8,T,red,right,Incorrect,0.19354690000182018
2,9,L,red,down,Incorrect,0.008300100002088584
2,10,T,red,left,Correct,0.05210990000341553
3,1,L,red,up,Correct,0.1469163000001572
3,2,L,blue,left,Incorrect,0.04124230000888929
3,3,T,red,right,Incorrect,0.045889599990914576
3,4,L,blue,left,Incorrect,0.2683683000068413
3,5,T,blue,right,Correct,0.48253950000798795
3,6,T,red,left,Correct,0.2747065000003204
3,7,L,blue,right,Incorrect,0.3472643999994034
3,8,T,red,down,Incorrect,0.11234829999739304
3,9,L,red,left,Incorrect,0.03369490000477526
3,10,T,red,up,Incorrect,0.008948200003942475
