,participant_nr,session,age,handedness,gender,consent given,date
0,1,13,27,right,female,True,12-14-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,T,red,left,Correct,1.6088959999906365
1,2,T,blue,up,Incorrect,0.007782299988321029
1,3,T,red,up,Incorrect,0.42863819999911357
1,4,L,red,right,Incorrect,0.5439064999955008
1,5,T,red,down,Incorrect,0.5182606000016676
1,6,L,blue,left,Incorrect,0.4706170999997994
1,7,L,blue,up,Incorrect,0.3425615000014659
1,8,L,blue,right,Incorrect,0.49049850000301376
1,9,T,red,down,Incorrect,0.5148963999963598
1,10,L,blue,left,Incorrect,0.3018364000017755
2,1,T,red,left,Correct,0.4840706999966642
2,2,L,blue,up,Incorrect,0.2362108000088483
2,3,L,red,right,Incorrect,0.7905265000008512
2,4,L,blue,down,Correct,0.2970651999930851
2,5,L,blue,left,Incorrect,0.31407609999587294
2,6,T,red,up,Incorrect,0.23489739999058656
2,7,T,red,right,Incorrect,0.3442079000087688
2,8,T,blue,down,Incorrect,0.4045631000044523
2,9,T,blue,left,Incorrect,0.2489318000007188
2,10,L,red,up,Correct,0.17211780000070576
3,1,T,blue,left,Incorrect,0.26674029999412596
3,2,L,blue,right,Incorrect,0.3377083999948809
3,3,T,blue,down,Incorrect,0.0606712000007974
3,4,L,red,up,Correct,0.26771899999585
3,5,T,red,right,Incorrect,0.029974499993841164
3,6,L,blue,left,Incorrect,0.2965628999954788
3,7,T,blue,right,Correct,0.28558569999586325
3,8,L,red,left,Incorrect,0.28674080000200775
3,9,L,blue,right,Incorrect,0.4048257999966154
3,10,T,red,down,Incorrect,0.29946200000995304
