,participant_nr,session,age,handedness,gender,consent given,date
0,1,14,27,right,female,True,12-14-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,T,red,left,Correct,0.5610998000047402
1,2,T,blue,right,Correct,0.10341640000115149
1,3,T,blue,left,Incorrect,0.022195199999259785
1,4,T,red,down,Incorrect,0.22691610000038054
1,5,T,blue,up,Incorrect,0.0555268000025535
1,6,L,blue,left,Incorrect,0.03250260000640992
1,7,L,blue,right,Incorrect,0.004186999998637475
1,8,L,blue,down,Correct,0.08392289999756031
1,9,L,blue,left,Incorrect,0.005739599990192801
1,10,L,blue,right,Incorrect,0.009442899987334386
2,1,L,blue,left,Incorrect,0.2153550999937579
2,2,T,blue,down,Incorrect,0.011438500005169772
2,3,T,blue,left,Incorrect,0.04439690000435803
2,4,L,blue,left,Incorrect,0.01507080000010319
2,5,L,blue,right,Incorrect,0.06978560000425205
2,6,T,blue,left,Incorrect,0.12378929999249522
2,7,T,blue,down,Incorrect,0.028630500004510395
2,8,L,blue,up,Incorrect,0.21523800000431947
2,9,T,red,right,Incorrect,0.04928659999859519
2,10,L,red,down,Incorrect,0.07319299998925999
3,1,L,red,left,Incorrect,0.3700403999973787
3,2,L,red,right,Incorrect,0.1587905999913346
3,3,T,blue,left,Incorrect,0.07288919998973142
3,4,T,red,right,Incorrect,0.0724566999997478
3,5,T,blue,down,Incorrect,0.030814799989457242
3,6,L,red,up,Correct,0.015896700002485886
3,7,T,red,down,Incorrect,0.13507440000830684
3,8,L,blue,up,Incorrect,0.009693300002254546
3,9,T,blue,down,Incorrect,0.10798259999137372
3,10,L,red,up,Correct,0.05685280000034254
