,participant_nr,session,age,handedness,gender,consent given,date
0,1,17,27,right,female,True,12-15-2022
Block Number,Trial Number,Target Letter,Target Colour,Response,Accuracy,Response Time
1,1,L,red,up,Correct,6.782784700000775
1,2,T,red,left,Correct,4.19275820000621
1,3,T,red,left,Correct,8.97189289999369
1,4,T,blue,right,Correct,6.351571599996532
1,5,T,red,left,Correct,2.1753288000036264
1,6,L,blue,up,Incorrect,0.20388690000982024
1,7,T,red,left,Correct,0.04523969998990651
1,8,L,red,right,Incorrect,0.05559319999883883
1,9,L,red,up,Correct,0.2926720999967074
1,10,L,blue,left,Incorrect,0.06845570000587031
2,1,L,red,left,Incorrect,0.6813633999990998
2,2,T,red,up,Incorrect,0.2703320999862626
2,3,L,blue,right,Incorrect,0.2266556000104174
2,4,L,blue,down,Correct,0.1295659000024898
2,5,T,blue,left,Incorrect,0.16178570000920445
2,6,T,blue,right,Correct,0.4561360999941826
2,7,T,red,down,Incorrect,0.024931599997216836
2,8,T,red,left,Correct,0.2861768000002485
2,9,L,blue,right,Incorrect,0.2421364000038011
2,10,L,red,left,Incorrect,0.15078679998987354
3,1,T,red,left,Correct,0.3368446000094991
3,2,L,blue,right,Incorrect,0.31812039999931585
3,3,T,blue,left,Incorrect,0.24721770000178367
3,4,L,blue,right,Incorrect,0.2918372999993153
3,5,T,blue,left,Incorrect,0.22945960001379717
3,6,L,blue,right,Incorrect,0.4138879999954952
3,7,L,blue,down,Correct,0.016556600006879307
3,8,T,red,left,Correct,0.007681499992031604
3,9,T,blue,up,Incorrect,0.03084020000824239
3,10,L,red,right,Incorrect,0.11554159999650437
